Sentence,Aspect Term,Polarity
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,Negative
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,Negative
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,Positive
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,Negative
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,Negative
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,Negative
"Great battery, speed, display.",battery,Positive
"Great battery, speed, display.",speed,Positive
"Great battery, speed, display.",display,Positive
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,Positive
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,Positive
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,Positive
I've been impressed with the battery life and the performance for such a small amount of memory.,memory,Neutral
"It's applications are terrific, including the replacements for Microsoft office.",applications,Positive
"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,Neutral
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,Negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,Negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,Negative
Is this partially due to the fact that it is running Windows Vista?,Windows Vista,Negative
Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,Negative
Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,Negative
Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,Negative
Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,Neutral
Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,Negative
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,Neutral
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,Positive
Mostly I love the drag and drop feature.,drag and drop feature,Positive
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,Negative
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,Positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,Positive
The screen is very large and crystal clear with amazing colors and resolution.,screen,Positive
The screen is very large and crystal clear with amazing colors and resolution.,colors,Positive
The screen is very large and crystal clear with amazing colors and resolution.,resolution,Positive
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,Negative
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,Positive
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,Neutral
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,Neutral
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,Negative
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,Negative
Â  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,Negative
"It has no camera but, I can always buy and install one easy.",camera,Negative
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,Positive
The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,Positive
The AMD Turin processor seems to always perform so much better than Intel.,Intel,Negative
Â  After that the said it was under warranty.,warranty,Neutral
The start menu is not the easiest thing to navigate due to the stacking.,start menu,Negative
The start menu is not the easiest thing to navigate due to the stacking.,navigate,Negative
Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,Negative
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,Negative
