Sentence,"Aspect Term","True Polarity",Gemini_Polarity
"I charge it at night and skip taking the cord with me because of the good battery life.",cord,neutral,Neutral
"I charge it at night and skip taking the cord with me because of the good battery life.","battery life",positive,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,Positive
"Easy to start up and does not overheat as much as other laptops.","start up",positive,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","garage band",positive,Positive
"Great laptop that offers many great features!",features,positive,Positive
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,Negative
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,Negative
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","power light",neutral,Neutral
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","hard drive light",negative,Negative
"I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.",battery,neutral,Neutral
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","rubber enclosure",positive,Negative
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,Negative
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","multi-touch gestures",positive,Positive
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","tracking area",positive,Positive
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","external mouse",neutral,Neutral
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,Neutral
"I love the way the entire suite of software works together.","suite of software",positive,Positive
"The speed is incredible and I am more than satisfied.",speed,positive,Positive
"This laptop meets every expectation and Windows 7 is great!","Windows 7",positive,Positive
"I can barely use any usb devices because they will not stay connected properly.","usb devices",negative,Negative
"When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.",software,neutral,Neutral
"When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.",system,negative,Negative
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.","Microsoft office for the mac",negative,Negative
"Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.",syncing,positive,Positive
"The machine is slow to boot up and occasionally crashes completely.","boot up",negative,Negative
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,Negative
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict,Positive
"I love the operating system and the preloaded software.","operating system",positive,Positive
"I love the operating system and the preloaded software.","preloaded software",positive,Positive
"The best thing about this laptop is the price along with some of the newer features.",price,positive,Positive
"The best thing about this laptop is the price along with some of the newer features.",features,positive,Positive
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).","clock in BIOS setup",negative,Negative
"YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.","WARRANTY SERVICE",negative,Negative
"but now i have realized its a problem with this brand.",brand,negative,Negative
"I was looking for a mac which is portable and has all the features that I was looking for.",features,positive,Positive
"Also kinda loud when the fan was running.",fan,negative,Negative
"There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.","hard disc",negative,Negative
"There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.",windows,negative,Negative
"There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.",drivers,neutral,Negative
"Drivers updated ok but the BIOS update froze the system up and the computer shut down.",Drivers,positive,Positive
