Text,central body,political figure,affiliate,Stance
"This article was first published 6 years ago 'It may take the AIADMK much more convincing than already, not only to try and bring around even the one-time Muslim voters of the party. 'More importantly, the party leadership may find it even more difficult to convince traditional party voters and cadres, who had admired Jayaâ€™s nonchalance to the party and leader ruling the Centre,' says N Sathiya Moorthy. IMAGE: Tamil Nadu Chief Minister Edappadi K Palaniswami campaigns for the AIADMK alliance candidate A C Shanmugam in Vellore. Photograph: Courtesy, Edappadi K Palaniswami on Twitter With the cancelled elections to the Vellore Lok Sabha constituency now scheduled for August 5, all eyes are on the voters, who could either reaffirm the state's poll behaviour in the general elections earlier this year, or give fresh hopes to the â€˜rulingâ€™ alliance of the BJP at the Centre and the AIADMK in Tamil Nadu, that the earlier verdict was an aberration. Fresh elections, as against â€˜by-electionsâ€™ or â€˜countermanded pollingâ€™, became necessary in Vellore after authorities recovered around Rs 11 crores in small bundles/parcels for ready distribution to cadres down the line. Officials declared that the seizure was made from properties identified with Dravida Munnetra",central government,,"bjp,aiadmk",neutral
"As the ruling party in West Bengal, the Trinamool Congress had the biggest stake in getting exactly what it wanted from the West Bengal panchayat elections; taking back control over the rural base before the 2024 general elections. This has been Mamata Banerjeeâ€™s single-minded target since 2019, when the Bharatiya Janata Party won an unprecedented 18 parliamentary seats out of the total of 42 Lok Sabha seats in the state. advertisement By winning the overwhelming majority of the 3317 gram panchayats, 341 panchayat samitis and all the zilla parishads in all the 20 districts of the state, Mamata Banerjee is closer to fulfilling her vow to bleed the BJP to a point where it does not pose a challenge to the TMCâ€™s power and consequently its dominance over West Bengal. The imperative to win and win big is a compulsion born of her focus on ensuring that the party regains most of the 34 seats it last won in 2014, if not increase the number of seats it wins in 2023. The imperative for the political players to reach the pre-determined targets was such that the level of violence spiralled. The number of people who died, 42 in pre and",,,bjp,neutral
"The stakes are high for the Bharatiya Janata Party (BJP), which has to ensure that it retains power in four (Uttar Pradesh, Uttarakhand, Goa and Manipur) of the five States which go to the polls early next year. In Punjab alone, the Congress is in power, albeit in a mess . Nature of contest This will be the first Assembly election after the second wave of COVID-19, which resulted in the loss of thousands of lives and attracted a lot of criticism of the BJP government. The ongoing farmerâ€™s agitation and the recent incident in Lakhimpur Kheri , where four farmers were crushed to death allegedly by the son of the Union Minister of State (Home), seems to have only added trouble for the BJP. But if anyone believes that these reasons will cause the BJPâ€™s defeat in these elections, they would be mistaken. In these four States, the BJP may not be as popular as it was during the 2017 Assembly elections, but the nature of the electoral contest could give the party an advantage. A possible multi-cornered contest in these States could result in fragmentation of anti-BJP votes, which will give the BJP an edge. The Congress will",ministry of home affairs,,bjp,anti
"Being both the symbolic space that holds the reins of power over the nation-state and a geographical place that hosts millions of everyday lives, Delhi is politically split. Local elections in Delhi are neither simply provincial nor straightforwardly national. The Sufi saint Nizamuddin Auliyaâ€™s famous words, â€œHunooz Dilli door astâ€ (Delhi is distant yet), apply to the city itself. Though they co-exist in the same city, the different avatars of Delhi can be quite far from each other. The elections to the Delhi State Assembly have underlined as never before the vast gulf between the national power centre and the regional State. Study in contrasts The Bharatiya Janata Party (BJP) contested the Delhi election as though it was an extension of the 2019 Lok Sabha campaign. The Aam Aadmi Party (AAP) fought the election as though it was about municipal matters such as water and electricity and nothing else. The Indian National Congress (INC) pretended that it was not pretending to fight the election. These contrasting styles of campaigning point to the larger challenges facing not just our polity but the very idea of India today. But before looking at the reasons why this is so, a quick look at",,,bjp,neutral
"Live Events STRENGTHS: Arvind Kejriwal remains prominent face of party. Appeal among lower middle-class voters and AAP's pitch that it is a party with a difference. Delivery on promises of quality education and health, and free electricity and water, and other welfare schemes have yielded massive electoral successes to the party in Delhi and Punjab. Growing acceptance of AAP as a major party in national politics. WEAKNESSES: Lack of strong organisational set-up at national and state level. Absence of senior experienced leaders having wide political and strategic exposure. Dent on AAP's image as honest party over alleged corruption issues. OPPORTUNITIES: AAP has chance to create new political narrative. It has an opportunity to create big base pan-India. THREATS: Looming threat of arrest of AAP national convener Arvind Kejriwal in the now-scrapped excise policy case. 'Modi factor' which can again give BJP an edge. BJP's well-entrenched Hindutva politics. (You can now subscribe to our (You can now subscribe to our Economic Times WhatsApp channel The AAP, the ruling party in Delhi and Punjab which has achieved national party status within a span of just over a decade, will seek to expand its political footprint in the coming Lok Sabha elections .",,narendra modi,bjp,anti
"Pundits and people who are of a certain ideological bent of mind are a die-hard lot; or you could say they are a never-say-die lot. Ordinary mortals who tremble with anger and disgust at the very mention of the name Narendra Modi would be in mourning today. The more emotional amongst them would be sharing WhatsApp texts anticipating the end of civilisation, and of the idea of India. advertisement The more level-headed amongst them would be looking closely at the numbers, wondering what electoral strategies the Congress and its INDIA partners need to adopt and execute to stop the Modi juggernaut in 2024. They are acutely aware of the fact that Jawaharlal Nehru remains the only prime minister to win three consecutive Lok Sabha mandates. They will do anything to prevent Modi (of all people) to equal that incredible record. But the die-hard lot is a different species. Even as the authors write this and even before the Election Commission has handed over certificates to victorious candidates, this lot is talking excitedly about an imminent repeat of 2003 and 2004 in 2023 and 2024. Back in December 2003, the BJP had steamrolled the Congress in assembly elections in Rajasthan, Madhya",,narendra modi,bjp,pro
"The voter turnout, often referred to as the percentage of eligible voters turning up to exercise their franchise, has seen a decline of 4.4 percentage points in the first phase of the Lok Sabha elections, marking the first drop since the last three electoral cycles. This has sparked concern among political parties and candidates alike, as well as the Election Commission of India (ECI). In the first phase, 93 out of 102 constituencies witnessed a decline in turnout compared to 2019. Of the 40 seats won by the Bharatiya Janata Party (BJP) in that year, as many as 39 saw a drop in turnout, while among the 15 seats won by the Congress, 12 saw a reduced voting percentage. Both the ECI and the BJP have taken measures to address this decline, with the Prime Minister urging citizens, regardless of party affiliations, to actively participate in what is known as the world's largest democratic exercise. Turnout And Results Various theories have been proposed to explain this trend, but it is important to note that there is no strong correlation between turnout and electoral outcomes. An analysis spanning 16 elections from 1957 to 2019 reveals that turnout increased 10 times, with",,narendra modi,bjp,neutral
"All the seats except for Sisamau fell vacant after their MLAs were elected as MPs in the Lok Sabha polls. In Sisamau, SP MLA Irfan Solanki was disqualified after being convicted in a criminal case. By-polls in Milkipur, Ayodhya, have not been announced. The Election Commission has cited that there is an election petition in the High Court against SP leader Awadhesh Prasad filed by former BJP MLA Baba Gorakhnath, who lost to him in the 2022 Assembly polls. â The data around assembly segment-wise leads for Uttar Pradesh in the 2024 general elections are not available yet. Of the nine Lok Sabha seats in which these nine Vidhan Sabha seats fall, the BJP won 4 seats: Ghaziabad (Ghaziabad), Phulpur (Phulpur), Kanpur (Sisamau) , Aligarh (Khair-SC). Its allies, the Apna Dal and the RLD, won the Mirzapur (Majhawan) and Bijnor (Meerapur) Lok Sabha seats respectively. The SP won Mainpuri (Karhal), Ambedkar Nagar (Katehari), and Sambhal (Kundarki). The SP and Congress alliance gained a significant chunk of the non-Yadav OBC and the non-Jatav votes in the general elections. The BJP bagged around 29 percent of the non-Jatav vote (-19 percent), 59 percent of the Other OBC vote (-13 percent), and 61 percent",,,"bjp,apna dal,rld",neutral
"Revanth Reddy, K Chandrashekar Rao and G Kishan Reddy CONGRESS Strengths Potential increase in womenâ€™s votes due to welfare schemes such as free bus travel, gas cylinders for `500 & free electricity. Implementation of five of six guarantees within first 100 days despite financial constraints. Addressed unemployment actively by issuing job notifications, a significant electoral issue. Ruling party status provides political support. Emphasis on social justice in cabinet allocation. Appointment of non-corrupt officials in key positions in police department and other wings enhances credibility. Shift of minority votes to Congress due to renewed friendship with AIMIM and emerging BJP vs Congress dynamic. Growing support from Reddy community indicates political influence. Strengthening presence in South Telangana & Khammam & Warangal, promising electoral gains. Weaknesses Strong Modi image at Centre is disadvantage for Congress. Perception loss regarding potential to come to power due to weak alliances in other states. Poor performance in assembly polls in Hyderabad, Rangareddy, Medchal-Malkajgiri districts and certain BRS strongholds. Potential worsening of summer woes like drinking water problems and power issues due to election delays. Inability to fully implement all the promised welfare sops due to fund shortage. Opportunities Winning majority of Parliament seats could stabilise state govt",central government,narendra modi,bjp,neutral
"This article was first published 3 years ago Is anyone in the BJP listening -- to what Nitin Gadkari had to say, but possibly left unsaid? asks N Sathiya Moorthy. IMAGE: Bharatiya Janata Party supremo and Prime Minister Narendra Damodardas Modi, centre, flanked by current BJP President Jagat Prakash Nadda, left, and former BJP president and current Road Transport and Highways Minister Nitin Gadkari, right. Photograph: R Raveendran/ANI Photo In the midst of the Modi-Shah duo's continuing war cry for a 'Congress mukt Bharat' -- even after decimating it almost completely -- Union Minister Nitin Gadkari has surprised many -- particularly the 'nineties kids' and those that followed -- with his call that the nation needs the Congress. It is a bold call, which even Congress revivalists like the G-23 ginger group has forgotten, and raises questions about the logic and rationale, if any, behind Gadkari's observations. 'Democracy runs on two wheels -- the ruling dispensation and the Opposition,' Gadkari, a former president of the Bharatiya Janata Party, is reported to have told a newspaper interviewer in Pune. 'A strong Opposition is a need for democracy. Hence it is my honest wish that the Congress party should become stronger.' Preposterous","central government, ministry of road transport and highways",nitin gadkari,bjp,neutral
