Sentence,Aspects (Term:Polarity)
I charge it at night and skip taking the cord with me because of the good battery life.,"battery:positive, battery:positive, battery:positive, quality:positive"
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","service:neutral, service:neutral"
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","quality:positive, quality:positive"
Easy to start up and does not overheat as much as other laptops.,performance:negative
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",None
Great laptop that offers many great features!,None
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",None
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,None
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",None
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",None
I love the way the entire suite of software works together.,None
The speed is incredible and I am more than satisfied.,performance:neutral
This laptop meets every expectation and Windows 7 is great!,None
I can barely use any usb devices because they will not stay connected properly.,None
#NAME?,None
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,battery:neutral
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",None
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,None
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",None
The machine is slow to boot up and occasionally crashes completely.,"quality:neutral, performance:neutral"
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",None
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",None
I love the operating system and the preloaded software.,None
The best thing about this laptop is the price along with some of the newer features.,None
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",service:neutral
