Sentence,Aspect Term,Polarity
I charge it at night and skip taking the cord with me because of the good battery life.,cord,Neutral
I charge it at night and skip taking the cord with me because of the good battery life.,battery life,Positive
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the """"sales"""" team, which is the retail shop which I bought my netbook from.",service center,Negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the """"sales"""" team, which is the retail shop which I bought my netbook from.","""""sales"""" team",Negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the """"sales"""" team, which is the retail shop which I bought my netbook from.",tech guy,Negative
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,Positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,Positive
Easy to start up and does not overheat as much as other laptops.,start up,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,Positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,Positive
Great laptop that offers many great features!,features,Positive
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,Negative
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,Negative
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,Neutral
"Â One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,Negative
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,Neutral
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,Negative
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,Negative
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,Positive
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,Positive
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,Neutral
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,Neutral
I love the way the entire suite of software works together.,suite of software,Positive
The speed is incredible and I am more than satisfied.,speed,Positive
This laptop meets every expectation and Windows 7 is great!,Windows 7,Positive
I can barely use any usb devices because they will not stay connected properly.,usb devices,Negative
UNKNOWN_SENTENCE,keyboard,Neutral
UNKNOWN_SENTENCE,hard drives,Neutral
UNKNOWN_SENTENCE,battery life,Neutral
UNKNOWN_SENTENCE,hard drives,Neutral
UNKNOWN_SENTENCE,Touchpad,Neutral
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,Neutral
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,Negative
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,Negative
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,Positive
"I also got the added bonus of a 30"""" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"""" HD Monitor",Positive
"I also got the added bonus of a 30"""" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,Positive
The machine is slow to boot up and occasionally crashes completely.,boot up,Negative
