id,Sentence,Aspect Term,polarity,from,to
2339,I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,41,45
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,27,41
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,14,21
2789,Easy to start up and does not overheat as much as other laptops.,start up,positive,8,16
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,46,54
80,Great laptop that offers many great features!,features,positive,36,44
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,89,92
1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,87,94
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,50,66
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,13,33
2568,I love the way the entire suite of software works together.,suite of software,positive,26,43
295,The speed is incredible and I am more than satisfied.,speed,positive,4,9
2759,This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,40,49
2980,I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,21,32
1054,"-No backlit keyboard, but not an issue for me.",keyboard,conflict,12,20
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,50,58
2587,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,51,79
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,67,74
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,32,46
92,The machine is slow to boot up and occasionally crashes completely.,boot up,negative,23,30
1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,46,53
325,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict,26,33
1574,I love the operating system and the preloaded software.,operating system,positive,11,27
3073,The best thing about this laptop is the price along with some of the newer features.,price,positive,40,45
1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,57,76
810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,44,60
130,but now i have realized its a problem with this brand.,brand,negative,48,53
839,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,59,67
696,I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,58,66
1030,Also kinda loud when the fan was running.,fan,negative,25,28
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,31,54
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,43,52
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,0,7
463,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,28,48
1193,"Speaking of the browser, it too has problems.",browser,negative,16,23
147,The keyboard is too slick.,keyboard,negative,4,12
1433,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,46,56
1669,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,10,17
2462,It's just as fast with one program open as it is with sixteen open.,program,neutral,27,34
2719,"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,12,20
1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,120,136
2492,Amazing Quality!,Quality,positive,8,15
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,48,54
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,27,35
915,"A month or so ago, the freaking motherboard just died.",motherboard,negative,32,43
2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,4,10
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,30,37
1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,62,72
803,It rarely works and when it does it's incredibly slow.,works,negative,10,15
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,66,75
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,44,60
1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,64,72
2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,25,42
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,16,22
103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,92,119
1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,93,110
900,"Then, within 5 months, the charger crapped out on me.",charger,negative,27,34
1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,88,93
446,I love the glass touchpad.,glass touchpad,positive,11,25
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,66,76
2752,I am using the external speaker- sound is good.,external speaker,positive,15,31
2381,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,18,30
404,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,37,45
407,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,36,44
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,30,42
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,80,91
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,12,15
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,17,29
1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,29,43
1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,17,45
1718,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,39,55
2923,"The battery life seems to be very good, and have had no issues with it.",battery life,positive,4,16
3027,Enabling the battery timer is useless.,battery timer,negative,13,26
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,0,12
1110,Going to bring it to service today.,service,neutral,21,28
1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,29,53
488,"But we had paid for bluetooth, and there was none.",bluetooth,negative,20,29
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,22,48
2985,"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,24,29
1573,"It is always reliable, never bugged and responds well.",responds,positive,40,48
1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,63,74
1099,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,37,45
1347,they had to replace the motherboard in April,motherboard,negative,24,35
